
2023/09/05 (18:42:21) | ===> btop++ v.1.2.13
2023/09/05 (18:42:21) | ERROR: Stall in Runner thread, restarting!
2023/09/05 (21:38:15) | ERROR: Stall in Runner thread, restarting!
2023/09/05 (21:38:21) | ERROR: Stall in Runner thread, restarting!
2023/09/06 (21:28:26) | ERROR: Stall in Runner thread, restarting!
2023/09/06 (23:48:12) | ERROR: Stall in Runner thread, restarting!
2023/09/07 (20:12:21) | ERROR: Stall in Runner thread, restarting!
2023/09/08 (19:11:37) | ERROR: Stall in Runner thread, restarting!
2023/09/08 (21:44:04) | ERROR: Stall in Runner thread, restarting!
2023/09/08 (21:44:10) | ERROR: Stall in Runner thread, restarting!
2023/09/08 (21:57:54) | ERROR: Stall in Runner thread, restarting!
2023/09/08 (21:59:10) | ERROR: Stall in Runner thread, restarting!
2023/09/08 (22:01:34) | ERROR: Stall in Runner thread, restarting!
2023/09/09 (12:01:27) | ERROR: Stall in Runner thread, restarting!
2023/09/09 (12:54:05) | ERROR: Runner thread died unexpectedly!

2023/09/09 (15:34:47) | ===> btop++ v.1.2.13
2023/09/09 (15:34:47) | ERROR: Stall in Runner thread, restarting!

2024/02/14 (01:25:47) | ===> btop++ v.1.3.2
2024/02/14 (01:25:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/14 (01:27:48) | ===> btop++ v.1.3.2
2024/02/14 (01:27:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/14 (13:48:30) | ===> btop++ v.1.3.2
2024/02/14 (13:48:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/23 (18:59:30) | ===> btop++ v.1.3.2
2024/02/23 (18:59:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/28 (04:00:46) | ===> btop++ v.1.3.2
2024/02/28 (04:00:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/29 (02:06:08) | ===> btop++ v.1.3.2
2024/02/29 (02:06:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/29 (02:07:23) | ===> btop++ v.1.3.2
2024/02/29 (02:07:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/04 (18:47:33) | ===> btop++ v.1.3.2
2024/03/04 (18:47:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/04 (18:47:49) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/04 (18:47:49) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2024/03/04 (18:47:49) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2024/03/04 (18:47:49) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/04 (18:47:49) | WARNING: ROCm SMI: Failed to get GPU temperature
2024/03/04 (18:47:51) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/04 (18:47:51) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2024/03/04 (18:47:51) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2024/03/04 (18:47:51) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/04 (18:47:51) | WARNING: ROCm SMI: Failed to get GPU temperature
2024/03/04 (18:47:53) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/04 (18:47:53) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2024/03/04 (18:47:53) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2024/03/04 (18:47:53) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/04 (18:47:53) | WARNING: ROCm SMI: Failed to get GPU temperature
2024/03/04 (18:47:55) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/04 (18:47:55) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2024/03/04 (18:47:55) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2024/03/04 (18:47:55) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/04 (18:47:55) | WARNING: ROCm SMI: Failed to get GPU temperature
2024/03/04 (18:47:57) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/04 (18:47:57) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2024/03/04 (18:47:57) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2024/03/04 (18:47:57) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/04 (18:47:57) | WARNING: ROCm SMI: Failed to get GPU temperature
2024/03/04 (18:47:59) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/04 (18:47:59) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2024/03/04 (18:47:59) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2024/03/04 (18:47:59) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/04 (18:47:59) | WARNING: ROCm SMI: Failed to get GPU temperature
2024/03/04 (18:48:01) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/04 (18:48:01) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2024/03/04 (18:48:01) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2024/03/04 (18:48:01) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/04 (18:48:01) | WARNING: ROCm SMI: Failed to get GPU temperature
2024/03/04 (18:48:03) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/04 (18:48:03) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2024/03/04 (18:48:03) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2024/03/04 (18:48:03) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/04 (18:48:03) | WARNING: ROCm SMI: Failed to get GPU temperature

2024/06/02 (03:43:55) | ===> btop++ v.1.3.2
2024/06/02 (03:43:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/02 (03:43:55) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/05 (19:22:08) | ===> btop++ v.1.3.2
2024/06/05 (19:22:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/05 (19:22:08) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/06 (00:12:38) | ===> btop++ v.1.3.2
2024/06/06 (00:12:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/06 (00:12:38) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/11 (23:56:45) | ===> btop++ v.1.3.2
2024/06/11 (23:56:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/11 (23:56:45) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/08 (03:18:24) | ===> btop++ v.1.3.2
2024/07/08 (03:18:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/08 (03:18:24) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/18 (03:32:28) | ===> btop++ v.1.3.2
2024/07/18 (03:32:28) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/18 (03:32:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/18 (03:32:28) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/18 (03:32:28) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2024/07/18 (03:32:28) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2024/07/18 (03:32:28) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/07/18 (03:32:28) | WARNING: ROCm SMI: Failed to get GPU temperature
2024/07/18 (03:32:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/27 (22:01:25) | ===> btop++ v.1.3.2
2024/07/27 (22:01:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/27 (22:01:25) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/27 (23:15:09) | ===> btop++ v.1.3.2
2024/07/27 (23:15:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/27 (23:15:09) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/28 (04:19:58) | ===> btop++ v.1.3.2
2024/07/28 (04:19:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/28 (04:19:58) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/28 (04:22:30) | ===> btop++ v.1.3.2
2024/07/28 (04:22:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/28 (04:22:30) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/12 (14:36:22) | ===> btop++ v.1.3.2
2024/08/12 (14:36:22) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/12 (14:36:22) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/24 (15:46:46) | ===> btop++ v.1.3.2
2024/08/24 (15:46:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/24 (15:46:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/25 (21:47:16) | ===> btop++ v.1.3.2
2024/08/25 (21:47:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/25 (21:47:16) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/07 (14:40:04) | ===> btop++ v.1.3.2
2024/09/07 (14:40:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/07 (14:40:04) | WARNING: ROCm SMI: Failed to get PCIe throughput

